index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
36,ATL,ORD,10:56:00,0,1:12:00,12:08:00,0,UA299,UA,United Airlines,209,277,
37,ATL,ORD,10:56:00,1,1:12:00,12:08:00,1,UA299,UA,United Airlines,209,277,
38,ATL,ORD,12:35:00,2,1:23:00,13:58:00,2,UA5339,UA,United Airlines,209,277,
39,ATL,ORD,12:40:00,0,1:23:00,14:03:00,0,UA5339,UA,United Airlines,209,277,
40,ATL,ORD,12:35:00,1,1:23:00,13:58:00,1,UA5339,UA,United Airlines,209,277,
41,ATL,ORD,6:30:00,2,1:28:00,7:58:00,2,UA5284,UA,United Airlines,209,277,
42,ATL,ORD,6:30:00,1,1:28:00,7:58:00,1,UA5284,UA,United Airlines,209,277,
43,ATL,ORD,22:30:00,1,0:57:00,23:27:00,1,DL2976,DL,Delta Airlines,210,,
44,ATL,ORD,22:30:00,4,0:57:00,23:27:00,4,DL2976,DL,Delta Airlines,210,,
45,ATL,ORD,7:15:00,6,1:00:00,8:15:00,6,DL2822,DL,Delta Airlines,210,250,
46,ATL,ORD,8:00:00,2,1:14:00,9:14:00,2,AA2893,AA,American Airlines,210,,
47,ATL,ORD,8:00:00,1,1:14:00,9:14:00,1,AA2893,AA,American Airlines,210,,
48,ATL,ORD,11:18:00,1,1:19:00,12:37:00,1,AA4541,AA,American Airlines,210,,
49,ATL,ORD,8:00:00,3,1:14:00,9:14:00,3,AA2893,AA,American Airlines,212,,
50,ATL,LHR,19:20:00,2,13:20:00,8:40:00,3,VS104,VS,Virgin Atlantic,1262,2738,6639
51,ATL,LHR,17:45:00,2,13:20:00,7:05:00,3,VS4044,VS,Virgin Atlantic,1262,,
52,ATL,LHR,17:45:00,1,13:20:00,7:05:00,2,VS4044,VS,Virgin Atlantic,1262,,
53,ATL,LHR,19:20:00,6,13:20:00,8:40:00,0,VS104,VS,Virgin Atlantic,1262,2759,
54,ATL,LHR,19:20:00,1,13:20:00,8:40:00,2,VS104,VS,Virgin Atlantic,1262,2759,
55,ATL,LHR,17:45:00,6,13:20:00,7:05:00,0,VS4044,VS,Virgin Atlantic,1262,,
56,ATL,LHR,19:20:00,0,13:20:00,8:40:00,1,VS104,VS,Virgin Atlantic,1262,2715,
57,ATL,LHR,19:20:00,5,13:20:00,8:40:00,6,VS104,VS,Virgin Atlantic,1327,2812,
58,ATL,LHR,17:45:00,3,13:20:00,7:05:00,4,VS4044,VS,Virgin Atlantic,1327,2789,
59,ATL,LHR,17:45:00,5,13:20:00,7:05:00,6,VS4044,VS,Virgin Atlantic,1327,,
60,ATL,LHR,19:20:00,3,13:20:00,8:40:00,4,VS104,VS,Virgin Atlantic,1327,2789,
61,ATL,LHR,17:45:00,0,13:20:00,7:05:00,1,VS4044,VS,Virgin Atlantic,1393,,
62,ATL,LHR,19:20:00,4,13:20:00,8:40:00,5,VS104,VS,Virgin Atlantic,1459,2789,9536
63,ATL,LHR,21:50:00,5,13:20:00,11:10:00,6,DL32,DL,Delta Airlines,1949,,
64,ATL,LHR,19:20:00,5,13:20:00,8:40:00,6,DL5998,DL,Delta Airlines,1949,2812,
65,ATL,LHR,17:45:00,5,13:20:00,7:05:00,6,DL30,DL,Delta Airlines,1949,,
66,ATL,LHR,19:20:00,0,13:20:00,8:40:00,1,DL5998,DL,Delta Airlines,1961,,8068
67,ATL,LHR,17:45:00,1,13:20:00,7:05:00,2,DL30,DL,Delta Airlines,1961,,9599
68,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,DL32,DL,Delta Airlines,1961,,7856
69,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,DL32,DL,Delta Airlines,1961,,7908
70,ATL,LHR,19:20:00,1,13:20:00,8:40:00,2,DL5998,DL,Delta Airlines,1961,2759,
71,ATL,LHR,17:45:00,0,13:20:00,7:05:00,1,DL30,DL,Delta Airlines,1961,,7908
72,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,VS4010,VS,Virgin Atlantic,1968,,
73,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,VS4010,VS,Virgin Atlantic,1968,,
74,ATL,LHR,19:20:00,6,13:20:00,8:40:00,0,DL5998,DL,Delta Airlines,1968,2759,
75,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,VS3993,VS,Virgin Atlantic,1272,2975,
76,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,VS3993,VS,Virgin Atlantic,1317,2975,
77,ATL,CDG,22:05:00,2,14:15:00,12:20:00,3,VS3993,VS,Virgin Atlantic,1317,2986,
78,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,VS3993,VS,Virgin Atlantic,1317,,7623
79,ATL,CDG,15:30:00,0,14:40:00,6:10:00,1,VS3970,VS,Virgin Atlantic,1317,,7623
80,ATL,CDG,15:30:00,2,14:40:00,6:10:00,3,VS3970,VS,Virgin Atlantic,1317,,7623
81,ATL,CDG,15:30:00,1,14:40:00,6:10:00,2,VS3970,VS,Virgin Atlantic,1317,2975,
82,ATL,CDG,15:30:00,6,14:40:00,6:10:00,0,VS3970,VS,Virgin Atlantic,1317,2975,
83,ATL,CDG,22:05:00,5,14:15:00,12:20:00,6,VS3993,VS,Virgin Atlantic,1384,3026,
84,ATL,CDG,22:05:00,3,14:15:00,12:20:00,4,VS3993,VS,Virgin Atlantic,1384,3038,
85,ATL,CDG,15:30:00,5,14:40:00,6:10:00,6,VS3970,VS,Virgin Atlantic,1384,,
86,ATL,CDG,15:30:00,3,14:40:00,6:10:00,4,VS3970,VS,Virgin Atlantic,1384,,
87,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,DL84,DL,Delta Airlines,1958,2975,
88,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,DL8672,DL,Delta Airlines,1958,2975,8071
89,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,AF689,AF,Air France,1968,,8086
90,ATL,CDG,16:35:00,6,14:30:00,7:05:00,0,DL8517,DL,Delta Airlines,2029,2975,8071
91,ATL,CDG,15:30:00,6,14:40:00,6:10:00,0,DL82,DL,Delta Airlines,2029,2975,
92,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,DL84,DL,Delta Airlines,2031,2975,
93,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,DL84,DL,Delta Airlines,2031,,
94,ATL,CDG,16:35:00,1,14:30:00,7:05:00,2,DL8517,DL,Delta Airlines,2031,2975,
95,ATL,CDG,20:05:00,2,14:30:00,10:35:00,3,DL8672,DL,Delta Airlines,2031,2986,7571
96,ATL,CDG,16:35:00,0,14:30:00,7:05:00,1,DL8517,DL,Delta Airlines,2031,,
97,ATL,CDG,16:35:00,2,14:30:00,7:05:00,3,DL8517,DL,Delta Airlines,2031,2986,7571
98,ATL,CDG,15:30:00,0,14:40:00,6:10:00,1,DL82,DL,Delta Airlines,2031,,
99,ATL,CDG,15:30:00,1,14:40:00,6:10:00,2,DL82,DL,Delta Airlines,2031,2975,
100,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,VS3948,VS,Virgin Atlantic,1295,2678,
101,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,VS3948,VS,Virgin Atlantic,1295,2760,7623
102,ATL,AMS,15:20:00,1,14:35:00,5:55:00,2,VS4054,VS,Virgin Atlantic,1295,2678,
103,ATL,AMS,17:35:00,6,14:35:00,8:10:00,0,VS3932,VS,Virgin Atlantic,1295,2760,7623
104,ATL,AMS,17:35:00,1,14:35:00,8:10:00,2,VS3932,VS,Virgin Atlantic,1295,2678,
105,ATL,AMS,15:20:00,6,14:35:00,5:55:00,0,VS4054,VS,Virgin Atlantic,1295,2760,7623
106,ATL,AMS,20:15:00,4,14:20:00,10:35:00,5,VS3948,VS,Virgin Atlantic,1360,,
107,ATL,AMS,15:20:00,4,14:35:00,5:55:00,5,VS4054,VS,Virgin Atlantic,1360,,
108,ATL,AMS,17:35:00,4,14:35:00,8:10:00,5,VS3932,VS,Virgin Atlantic,1360,,
109,ATL,AMS,22:40:00,6,14:15:00,12:55:00,0,DL9375,DL,Delta Airlines,1988,,
110,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,DL74,DL,Delta Airlines,1988,2760,
111,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,VS3948,VS,Virgin Atlantic,1988,2745,
112,ATL,AMS,17:35:00,0,14:35:00,8:10:00,1,VS3932,VS,Virgin Atlantic,1988,2745,7623
113,ATL,AMS,15:20:00,0,14:35:00,5:55:00,1,VS4054,VS,Virgin Atlantic,1988,2745,
114,ATL,AMS,15:20:00,2,14:35:00,5:55:00,3,VS4054,VS,Virgin Atlantic,1988,2771,
115,ATL,AMS,22:40:00,0,14:15:00,12:55:00,1,DL9375,DL,Delta Airlines,1995,,
116,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,DL74,DL,Delta Airlines,1995,2771,7571
117,ATL,AMS,20:15:00,2,14:20:00,10:35:00,3,VS3948,VS,Virgin Atlantic,1995,2771,
118,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,DL74,DL,Delta Airlines,1995,,
119,ATL,AMS,17:35:00,2,14:35:00,8:10:00,3,VS3932,VS,Virgin Atlantic,1995,2771,
120,ATL,AMS,15:20:00,1,14:35:00,5:55:00,2,DL70,DL,Delta Airlines,1995,,
121,ATL,AMS,17:35:00,0,14:35:00,8:10:00,1,DL72,DL,Delta Airlines,1995,2771,
122,ATL,AMS,15:20:00,0,14:35:00,5:55:00,1,DL70,DL,Delta Airlines,1995,2771,7571
123,ATL,AMS,17:35:00,6,14:35:00,8:10:00,0,DL72,DL,Delta Airlines,1995,2760,
124,ATL,AMS,15:20:00,2,14:35:00,5:55:00,3,DL70,DL,Delta Airlines,1995,2771,6499
125,ATL,DFW,8:00:00,5,1:22:00,9:22:00,5,NK233,NK,Spirit Airlines,97,,
126,ATL,DFW,8:00:00,4,1:22:00,9:22:00,4,NK233,NK,Spirit Airlines,97,,
127,ATL,DFW,13:46:00,5,1:18:00,15:04:00,5,F91551,F9,Frontier Airlines,98,,
128,ATL,DFW,8:00:00,1,1:22:00,9:22:00,1,NK233,NK,Spirit Airlines,130,,
129,ATL,DFW,8:00:00,2,1:22:00,9:22:00,2,NK233,NK,Spirit Airlines,130,,
130,ATL,DFW,8:00:00,3,1:22:00,9:22:00,3,NK233,NK,Spirit Airlines,130,,
131,ATL,DFW,14:31:00,2,1:22:00,15:53:00,2,F91551,F9,Frontier Airlines,131,,
132,ATL,DFW,14:27:00,4,1:22:00,15:49:00,4,F91551,F9,Frontier Airlines,148,,
133,ATL,DFW,14:19:00,0,1:22:00,15:41:00,0,F91551,F9,Frontier Airlines,157,,
134,ATL,DFW,8:00:00,0,1:22:00,9:22:00,0,NK233,NK,Spirit Airlines,174,,
135,ATL,DFW,8:00:00,6,1:22:00,9:22:00,6,NK233,NK,Spirit Airlines,174,,
136,ATL,DFW,22:45:00,4,1:13:00,23:58:00,4,DL1002,DL,Delta Airlines,201,,
137,ATL,DFW,22:45:00,5,1:13:00,23:58:00,5,DL1002,DL,Delta Airlines,201,,
138,ATL,DFW,12:32:00,5,1:17:00,13:49:00,5,AA982,AA,American Airlines,201,,
139,ATL,DFW,10:22:00,5,1:18:00,11:40:00,5,AA2778,AA,American Airlines,201,,
140,ATL,DFW,10:22:00,6,1:18:00,11:40:00,6,AA2778,AA,American Airlines,201,,
141,ATL,DFW,8:00:00,5,1:19:00,9:19:00,5,AA1567,AA,American Airlines,201,,
142,ATL,DFW,14:28:00,5,1:20:00,15:48:00,5,AA980,AA,American Airlines,201,,
143,ATL,FRA,17:45:00,0,14:55:00,8:40:00,1,VS3849,VS,Virgin Atlantic,1317,2741,
144,ATL,FRA,17:45:00,2,14:55:00,8:40:00,3,VS3849,VS,Virgin Atlantic,1317,2741,7623
145,ATL,FRA,17:45:00,3,14:55:00,8:40:00,4,VS3849,VS,Virgin Atlantic,1317,,16440
146,ATL,FRA,17:45:00,1,14:55:00,8:40:00,2,VS3849,VS,Virgin Atlantic,1317,2763,8935
147,ATL,FRA,17:45:00,5,14:55:00,8:40:00,6,VS3849,VS,Virgin Atlantic,1384,,
148,ATL,FRA,17:45:00,6,14:55:00,8:40:00,0,VS3849,VS,Virgin Atlantic,1384,,13837
149,ATL,FRA,16:05:00,6,14:55:00,7:00:00,0,UA8830,UA,United Airlines,2005,2426,
150,ATL,FRA,16:05:00,5,14:55:00,7:00:00,6,UA8830,UA,United Airlines,2012,,7542
151,ATL,FRA,16:05:00,6,14:55:00,7:00:00,0,LH445,LH,Lufthansa,2013,2406,9691
152,ATL,FRA,16:05:00,5,14:55:00,7:00:00,6,LH445,LH,Lufthansa,2013,2406,7535
153,ATL,FRA,16:05:00,2,14:55:00,7:00:00,3,UA8830,UA,United Airlines,2030,,
154,ATL,FRA,16:05:00,0,14:55:00,7:00:00,1,UA8830,UA,United Airlines,2030,2928,9091
155,ATL,FRA,16:05:00,3,14:55:00,7:00:00,4,UA8830,UA,United Airlines,2030,2250,
156,ATL,FRA,16:05:00,2,14:55:00,7:00:00,3,LH445,LH,Lufthansa,2031,2970,10722
157,ATL,FRA,17:45:00,3,14:55:00,8:40:00,4,DL14,DL,Delta Airlines,2031,,16388
158,ATL,FRA,17:45:00,2,14:55:00,8:40:00,3,DL14,DL,Delta Airlines,2031,,7571
159,ATL,FRA,17:45:00,0,14:55:00,8:40:00,1,DL14,DL,Delta Airlines,2031,,9764
160,ATL,FRA,17:45:00,1,14:55:00,8:40:00,2,DL14,DL,Delta Airlines,2031,2763,
161,ATL,FRA,16:05:00,0,14:55:00,7:00:00,1,LH445,LH,Lufthansa,2031,2970,
162,ATL,FRA,16:05:00,3,14:55:00,7:00:00,4,LH445,LH,Lufthansa,2038,2264,8916
163,ATL,FRA,17:45:00,4,14:55:00,8:40:00,5,VS3849,VS,Virgin Atlantic,2078,,10340
164,ATL,FRA,17:45:00,4,14:55:00,8:40:00,5,DL14,DL,Delta Airlines,2086,,10288
165,ATL,FRA,17:45:00,5,14:55:00,8:40:00,6,DL14,DL,Delta Airlines,2086,,
166,ATL,FRA,17:45:00,6,14:55:00,8:40:00,0,DL14,DL,Delta Airlines,2086,5634,14396
167,ATL,IST,22:10:00,2,17:30:00,15:40:00,3,TK32,TK,Turkish Airlines,1423,,3807
168,ATL,IST,22:10:00,0,17:30:00,15:40:00,1,TK32,TK,Turkish Airlines,1423,,3777
169,ATL,IST,22:10:00,1,17:30:00,15:40:00,2,TK32,TK,Turkish Airlines,1423,,3777
170,ATL,IST,22:10:00,3,17:30:00,15:40:00,4,TK32,TK,Turkish Airlines,1466,,6458
171,ATL,IST,22:10:00,6,17:30:00,15:40:00,0,TK32,TK,Turkish Airlines,1474,,5895
172,ATL,IST,22:10:00,5,17:30:00,15:40:00,6,TK32,TK,Turkish Airlines,1477,,4399
173,ATL,IST,22:10:00,4,17:30:00,15:40:00,5,TK32,TK,Turkish Airlines,1477,,3930
174,ATL,DEN,6:55:00,6,1:20:00,8:15:00,6,F9421,F9,Frontier Airlines,223,,
175,ATL,DEN,21:03:00,6,1:27:00,22:30:00,6,F9419,F9,Frontier Airlines,223,,
176,ATL,DEN,7:05:00,5,1:15:00,8:20:00,5,F9421,F9,Frontier Airlines,235,,
177,ATL,DEN,6:35:00,3,1:20:00,7:55:00,3,F9421,F9,Frontier Airlines,235,,
178,ATL,DEN,6:51:00,4,1:20:00,8:11:00,4,F9421,F9,Frontier Airlines,235,,
179,ATL,DEN,21:04:00,4,1:27:00,22:31:00,4,F9419,F9,Frontier Airlines,235,,
180,ATL,DEN,21:42:00,5,1:27:00,23:09:00,5,F9419,F9,Frontier Airlines,235,,
181,ATL,DEN,20:48:00,3,1:28:00,22:16:00,3,F9419,F9,Frontier Airlines,235,,
182,ATL,DEN,7:05:00,1,1:15:00,8:20:00,1,F9421,F9,Frontier Airlines,264,,
183,ATL,DEN,6:57:00,2,1:20:00,8:17:00,2,F9421,F9,Frontier Airlines,264,,
184,ATL,DEN,6:55:00,0,1:20:00,8:15:00,0,F9421,F9,Frontier Airlines,264,,
185,ATL,DEN,21:08:00,1,1:27:00,22:35:00,1,F9419,F9,Frontier Airlines,264,,
186,ATL,DEN,21:09:00,2,1:27:00,22:36:00,2,F9419,F9,Frontier Airlines,264,,
187,ATL,DEN,21:08:00,0,1:27:00,22:35:00,0,F9419,F9,Frontier Airlines,264,,
188,ATL,DEN,8:31:00,5,1:20:00,9:51:00,5,UA340,UA,United Airlines,289,370,
189,ATL,DEN,22:36:00,4,1:13:00,23:49:00,4,DL1474,DL,Delta Airlines,289,475,
190,ATL,DEN,20:50:00,6,1:13:00,22:03:00,6,DL511,DL,Delta Airlines,289,423,
191,ATL,DEN,22:36:00,6,1:13:00,23:49:00,6,DL1474,DL,Delta Airlines,289,464,
192,ATL,DEN,20:50:00,4,1:13:00,22:03:00,4,DL511,DL,Delta Airlines,289,475,
193,ATL,DEN,20:50:00,5,1:14:00,22:04:00,5,DL511,DL,Delta Airlines,289,434,
194,ATL,DEN,12:35:00,1,1:03:00,13:38:00,1,DL846,DL,Delta Airlines,317,,
195,ATL,DEN,8:10:00,0,1:07:00,9:17:00,0,DL818,DL,Delta Airlines,317,,
196,ATL,DEN,20:50:00,1,1:13:00,22:03:00,1,DL511,DL,Delta Airlines,317,,
197,ATL,DEN,20:50:00,0,1:13:00,22:03:00,0,DL511,DL,Delta Airlines,317,,
198,ATL,DEN,22:36:00,0,1:13:00,23:49:00,0,DL1474,DL,Delta Airlines,317,461,
199,ATL,JFK,7:14:00,4,2:15:00,9:29:00,4,B6920,B6,Jetblue Airways,108,,
200,ATL,JFK,17:04:00,0,2:25:00,19:29:00,0,B6720,B6,Jetblue Airways,141,,
201,ATL,JFK,7:14:00,2,2:15:00,9:29:00,2,B6920,B6,Jetblue Airways,163,,
202,ATL,JFK,7:14:00,1,2:15:00,9:29:00,1,B6920,B6,Jetblue Airways,163,,
203,ATL,JFK,12:31:00,2,2:22:00,14:53:00,2,B6520,B6,Jetblue Airways,163,,
204,ATL,JFK,19:28:00,1,2:26:00,21:54:00,1,B61320,B6,Jetblue Airways,163,,
205,ATL,JFK,19:28:00,2,2:26:00,21:54:00,2,B61320,B6,Jetblue Airways,163,,
206,ATL,JFK,17:04:00,2,2:25:00,19:29:00,2,B6720,B6,Jetblue Airways,174,,
207,ATL,JFK,12:45:00,2,2:24:00,15:09:00,2,DL847,DL,Delta Airlines,190,335,
208,ATL,JFK,14:20:00,2,2:28:00,16:48:00,2,DL917,DL,Delta Airlines,190,335,
209,ATL,JFK,21:29:00,1,2:30:00,23:59:00,1,DL517,DL,Delta Airlines,190,338,
210,ATL,JFK,21:29:00,2,2:30:00,23:59:00,2,DL517,DL,Delta Airlines,190,335,
211,ATL,JFK,8:45:00,1,2:15:00,11:00:00,1,DL733,DL,Delta Airlines,190,335,
212,ATL,JFK,10:03:00,1,2:25:00,12:28:00,1,DL2269,DL,Delta Airlines,190,338,
213,ATL,JFK,21:29:00,0,2:30:00,23:59:00,0,DL517,DL,Delta Airlines,190,335,
214,ATL,JFK,8:45:00,2,2:15:00,11:00:00,2,DL733,DL,Delta Airlines,201,,
215,ATL,JFK,10:03:00,2,2:25:00,12:28:00,2,DL2269,DL,Delta Airlines,201,335,
216,ATL,JFK,7:14:00,1,2:15:00,9:29:00,1,AA9141,AA,American Airlines,204,,
217,ATL,JFK,19:28:00,2,2:26:00,21:54:00,2,AA9187,AA,American Airlines,204,,
218,ATL,JFK,19:28:00,1,2:26:00,21:54:00,1,AA9187,AA,American Airlines,204,,
219,ATL,JFK,21:29:00,5,2:30:00,23:59:00,5,DL517,DL,Delta Airlines,207,361,
220,ATL,JFK,19:45:00,5,2:31:00,22:16:00,5,DL860,DL,Delta Airlines,207,361,
221,ATL,JFK,18:25:00,5,2:35:00,21:00:00,5,DL526,DL,Delta Airlines,207,361,
222,ATL,JFK,18:25:00,4,2:35:00,21:00:00,4,DL526,DL,Delta Airlines,207,,
223,ATL,JFK,17:04:00,5,2:25:00,19:29:00,5,B6720,B6,Jetblue Airways,207,,
224,ATL,SFO,22:09:00,6,2:03:00,0:12:00,0,DL710,DL,Delta Airlines,534,1392,
225,ATL,SFO,12:00:00,5,1:54:00,13:54:00,5,DL1677,DL,Delta Airlines,553,,
226,ATL,SFO,12:00:00,6,1:54:00,13:54:00,6,DL1677,DL,Delta Airlines,553,,
227,ATL,SFO,12:00:00,4,1:54:00,13:54:00,4,DL1677,DL,Delta Airlines,553,,
228,ATL,SFO,8:34:00,5,1:59:00,10:33:00,5,DL715,DL,Delta Airlines,553,,
229,ATL,SFO,8:34:00,4,1:59:00,10:33:00,4,DL715,DL,Delta Airlines,553,,
230,ATL,SFO,22:09:00,4,2:03:00,0:12:00,5,DL710,DL,Delta Airlines,553,764,
231,ATL,SFO,10:00:00,6,2:03:00,12:03:00,6,DL824,DL,Delta Airlines,553,1444,
232,ATL,SFO,22:09:00,5,2:03:00,0:12:00,6,DL710,DL,Delta Airlines,553,,
233,ATL,SFO,10:00:00,4,2:03:00,12:03:00,4,DL824,DL,Delta Airlines,553,764,
234,ATL,SFO,10:00:00,5,2:03:00,12:03:00,5,DL824,DL,Delta Airlines,553,,
235,ATL,SFO,14:50:00,4,2:04:00,16:54:00,4,DL753,DL,Delta Airlines,553,,
236,ATL,SFO,14:50:00,6,2:04:00,16:54:00,6,DL753,DL,Delta Airlines,553,,
237,ATL,SFO,19:25:00,4,2:05:00,21:30:00,4,DL1462,DL,Delta Airlines,553,764,
238,ATL,SFO,17:10:00,5,2:05:00,19:15:00,5,DL769,DL,Delta Airlines,553,1513,
239,ATL,SFO,17:10:00,4,2:05:00,19:15:00,4,DL769,DL,Delta Airlines,553,,
240,ATL,SFO,19:25:00,6,2:05:00,21:30:00,6,DL1462,DL,Delta Airlines,553,1392,
241,ATL,SFO,17:10:00,6,2:05:00,19:15:00,6,DL769,DL,Delta Airlines,553,,
242,ATL,SFO,15:25:00,5,2:07:00,17:32:00,5,DL753,DL,Delta Airlines,553,,
243,ATL,SFO,19:32:00,4,2:13:00,21:45:00,4,UA211,UA,United Airlines,554,681,
244,ATL,SFO,19:32:00,5,2:13:00,21:45:00,5,UA211,UA,United Airlines,555,732,
245,ATL,SFO,19:32:00,6,2:13:00,21:45:00,6,UA211,UA,United Airlines,564,691,
246,ATL,SFO,12:00:00,2,1:54:00,13:54:00,2,DL1677,DL,Delta Airlines,664,,
247,ATL,SFO,12:00:00,1,1:54:00,13:54:00,1,DL1677,DL,Delta Airlines,664,,
248,ATL,SFO,8:34:00,0,1:59:00,10:33:00,0,DL715,DL,Delta Airlines,664,,
249,ATL,MAD,18:10:00,6,14:35:00,8:45:00,0,VS3884,VS,Virgin Atlantic,1272,,
250,ATL,MAD,18:10:00,0,14:35:00,8:45:00,1,VS3884,VS,Virgin Atlantic,1272,,6729
251,ATL,MAD,18:10:00,2,14:35:00,8:45:00,3,VS3884,VS,Virgin Atlantic,1272,,8955
252,ATL,MAD,18:10:00,5,14:35:00,8:45:00,6,VS3884,VS,Virgin Atlantic,1336,,
253,ATL,MAD,18:10:00,1,14:35:00,8:45:00,2,DL108,DL,Delta Airlines,1960,,6470
254,ATL,MAD,18:10:00,0,14:35:00,8:45:00,1,DL108,DL,Delta Airlines,1960,,7460
255,ATL,MAD,18:10:00,2,14:35:00,8:45:00,3,DL108,DL,Delta Airlines,1960,,6470
256,ATL,MAD,18:10:00,6,14:35:00,8:45:00,0,DL108,DL,Delta Airlines,1960,5549,
257,ATL,MAD,18:10:00,1,14:35:00,8:45:00,2,VS3884,VS,Virgin Atlantic,1960,,
258,ATL,MAD,18:10:00,4,14:35:00,8:45:00,5,VS3884,VS,Virgin Atlantic,2006,,9110
259,ATL,MAD,18:10:00,3,14:35:00,8:45:00,4,VS3884,VS,Virgin Atlantic,2006,,9110
